store_id,reviewer_id,visit_date,visit_count,visit_time
1509,¾îÂ¼¶ó°í4036,2026-02-06,1,¾ÆÄ§
1509,Wonderfulworld,2026-01-14,8,Á¡½É
1509,Çàº¹ÇÑ¹ÌÀÚ¾¾,2026-01-10,16,¾ÆÄ§
1509,·°Å°»Ó,2026-01-06,2,Á¡½É
1509,HongPark,2026-01-01,86,Àú³á
1509,jaylee101345,2025-12-31,3,Àú³á
1509,jaylee101345,2025-12-21,2,¾ÆÄ§
1509,Heeeeeee50,2025-12-17,6,Àú³á
1509,±Ýº»À§,2025-12-10,1,Àú³á
1509,BLOOMING6673,2025-12-09,2,Á¡½É
1509,BLOOMING6673,2025-12-03,1,Á¡½É
1509,jaylee101345,2025-12-03,1,Á¡½É
1509,HongPark,2025-11-11,85,¾ÆÄ§
1509,½ÅºÒ´ç È¥¹ä·¯,2025-11-10,2,¾ÆÄ§
1509,ddon78,2025-11-02,2,Àú³á
1509,½ÅºÒ´ç È¥¹ä·¯,2025-10-31,1,Á¡½É
1509,MLHBee,2025-10-30,49,¾ÆÄ§
1509,Çàº¹ÇÑ¹ÌÀÚ¾¾,2025-10-25,15,Á¡½É
1509,¿þ¿Ä¿þ¿ËÀ¦,2025-10-18,7,Á¡½É
1509,HongPark,2025-10-14,84,Àú³á
1509,HongPark,2025-10-09,83,Àú³á
1509,Ä«Áî19,2025-10-07,4,Àú³á
1509,HongPark,2025-10-03,82,Àú³á
1509,HongPark,2025-10-01,81,Á¡½É
1509,°­ ja,2025-09-30,1,Á¡½É
1509,¸Á°íÃÝ,2025-09-29,5,Á¡½É
1509,MLHBee,2025-09-25,48,Àú³á
1509,HongPark,2025-09-21,80,Àú³á
1509,airmuse,2025-09-15,32,Á¡½É
1509,MLHBee,2025-09-12,47,Á¡½É
1509,airmuse,2025-09-12,31,Á¡½É
1509,airmuse,2025-09-11,30,Á¡½É
1509,Ä«Áî19,2025-09-07,3,Á¡½É
1509,¹ÙÀÌ¿Ã·¿ 76,2025-09-07,13,¾ÆÄ§
1509,airmuse,2025-08-31,29,Àú³á
1509,airmuse,2025-08-28,28,Á¡½É
1509,airmuse,2025-08-23,27,Àú³á
1509,Myoung11,2025-08-22,5,Á¡½É
1509,airmuse,2025-08-20,26,Á¡½É
1509,½Î¹ÙÀÌµð,2025-08-17,14,Àú³á
1509,airmuse,2025-08-15,25,Á¡½É
1509,LYHKM,2025-08-15,1,Á¡½É
1509,kelly3808,2025-08-12,3,Á¡½É
1509,MLHBee,2025-08-11,46,Á¡½É
1509,ppp****,2025-08-10,1,Á¡½É
1509,MLHBee,2025-08-08,45,¾ÆÄ§
1509,HongPark,2025-08-02,79,Á¡½É
1509,HongPark,2025-07-28,78,Àú³á
1509,sunoiin,2025-07-24,1,Á¡½É
1509,HongPark,2025-07-20,77,Àú³á
1434,Å°¶óÅ°¶óÅ°Å°,2026-02-10,9,Á¡½É
1434,º°ÇØ61,2026-02-10,2,¾ÆÄ§
1434,Ä³Ä¡´Ï´ÏÇÎ,2026-02-09,2,Á¡½É
1434,whatulike,2026-02-05,1,Àú³á
1434,Çàº¹ÀÌ¶û ³ë´ÂÁß,2026-01-31,16,Á¡½É
1434,¾ÆÀÌ½ºº£¾î69,2026-01-30,1,Á¡½É
1434,¿äÀÕ¿ùµå,2026-01-30,1,Á¡½É
1434,Å°¶óÅ°¶óÅ°Å°,2026-01-29,8,Á¡½É
1434,±×·¹ÀÌ½ºÀ¸´Ï,2026-01-28,1,Á¡½É
1434,¿À·»Áö ºí¶ó½æ,2026-01-27,8,Á¡½É
1434,¾È³çÇÏ¼¼¿ä57,2026-01-24,9,Á¡½É
1434,Ä³Ä¡´Ï´ÏÇÎ,2026-01-22,1,Á¡½É
1434,Å°¶óÅ°¶óÅ°Å°,2026-01-19,7,Á¡½É
1434,Çàº¹ÀÌ¶û ³ë´ÂÁß,2026-01-18,15,Àú³á
1434,Æ®À©½ºÈ¦¸¯,2026-01-18,1,Á¡½É
1434,¿À·»Áö ºí¶ó½æ,2026-01-16,7,Á¡½É
1434,°­³²º°»çÅÁ,2026-01-14,1,Á¡½É
1434,Çàº¹ÀÌ¶û ³ë´ÂÁß,2026-01-10,14,Àú³á
1434,BestReviewer,2026-01-08,3,Á¡½É
1434,¿¬º¸°í,2026-01-08,2,Á¡½É
1434,zi****,2026-01-07,16,Àú³á
1434,¸ÞµðÄ®Æ÷·³,2026-01-07,1,Á¡½É
1434,jun****,2026-01-01,5,Á¡½É
1434,¿ÏÀüÃÊº¸14,2026-01-01,9,Á¡½É
1434,Å°¶óÅ°¶óÅ°Å°,2025-12-29,6,Á¡½É
1434,jjss89,2025-12-21,1,Á¡½É
1434,Çàº¹ÀÌ¶û ³ë´ÂÁß,2025-12-21,13,Á¡½É
1434,¹Ù´Ïº¸ÀÌ36,2025-12-18,1,Àú³á
1434,È£¶óÀÌ´ø,2025-12-12,1,Á¡½É
1434,Å°¶óÅ°¶óÅ°Å°,2025-12-11,5,Á¡½É
1434,Å°¶óÅ°¶óÅ°Å°,2025-12-10,4,Á¡½É
1434,ksh****,2025-12-09,1,Á¡½É
1434,Çàº¹ÀÌ¶û ³ë´ÂÁß,2025-12-07,11,Á¡½É
1434,sd****,2025-12-05,1,Á¡½É
1434,ROSA11,2025-12-03,1,Àú³á
1434,ÇÜÆÃÀÌ84,2025-12-02,1,Àú³á
1434,±Í¿ä¹Ì53,2025-12-02,1,Àú³á
1434,zi****,2025-12-01,15,Àú³á
1434,Çàº¹ÀÌ¶û ³ë´ÂÁß,2025-11-29,10,Á¡½É
1434,À±»Ç¶Ç,2025-11-27,3,Àú³á
1434,Çàº¹ÀÌ¶û ³ë´ÂÁß,2025-11-24,9,Àú³á
1434,ÈÛ¾µ¾î,2025-11-22,9,¾ÆÄ§
1434,Hee57,2025-11-21,1,Á¡½É
1434,Çàº¹ÀÌ¶û ³ë´ÂÁß,2025-11-21,8,Á¡½É
1434,hap****,2025-11-20,1,Á¡½É
1434,Aaaec,2025-11-13,1,Á¡½É
1434,´ÙÁ¶¸®8,2025-11-12,8,Á¡½É
1434,Çàº¹ÀÌ¶û ³ë´ÂÁß,2025-11-08,7,Á¡½É
1434,mbh****,2025-11-07,2,¾ÆÄ§
1434,Ãµ»óÃµÇÏÀ¯¾Æµ¶Á¾¾Ç³à48,2025-11-03,2,Á¡½É
1595,SunnyDay15,2026-02-08,1,Á¡½É
1595,¿äÀÕ¿ùµå,2026-02-06,2,Á¡½É
1595,³×¿À»þÀÎ,2026-02-03,26,¾ÆÄ§
1595,»ýÇà½À°á,2026-01-31,1,Á¡½É
1595,lTree,2026-01-24,1,Á¡½É
1595,shk031292,2026-01-24,30,¾ÆÄ§
1595,°­³²º°»çÅÁ,2026-01-15,1,Á¡½É
1595,ht****,2026-01-13,5,Á¡½É
1595,ºê¶óº¸°í°í,2026-01-07,1,Á¡½É
1595,¸±¸®½º37,2026-01-06,1,Àú³á
1595,¾ÆÆú·Ð505,2026-01-05,2,Á¡½É
1595,sim****,2025-12-19,5,Á¡½É
1595,ht****,2025-12-18,4,Àú³á
1595,prince0011,2025-12-15,1,Á¡½É
1595,³î·¯´ó±â´Â »ç¶÷,2025-12-12,1,Á¡½É
1595,±Âº¿,2025-12-08,6,Á¡½É
1595,Çæ··ÀÌ38,2025-11-26,1,¾ÆÄ§
1595,pin****,2025-11-15,1,Àú³á
1595,±Í¿©¿î²¿¹°2,2025-11-11,1,Àú³á
1595,·¯ºí¸®¹«´Ï,2025-11-11,1,Á¡½É
1595,Aaaec,2025-11-08,4,Àú³á
1595,¿äÀÕ¿ùµå,2025-11-05,1,Á¡½É
1595,¾ÆÆú·Ð505,2025-11-03,1,Á¡½É
1595,´ß´Ù¸®¾Ó,2025-11-01,1,¾ÆÄ§
1595,¾ÆÄû¸®¿Â,2025-10-29,1,Á¡½É
1595,Aaaec,2025-10-19,3,Á¡½É
1595,³×¿À»þÀÎ,2025-10-02,25,¾ÆÄ§
1595,skyinÇØºí¸®,2025-10-01,1,Àú³á
1595,kkw****,2025-09-24,1,Á¡½É
1595,24365,2025-09-21,1,Àú³á
1595,Aaaec,2025-09-19,2,¾ÆÄ§
1595,³×¿À»þÀÎ,2025-09-12,23,¾ÆÄ§
1595,¹æ¹Ù¾ß¹Ù,2025-09-09,1,Á¡½É
1595,¸á·Îµð654,2025-09-08,1,Á¡½É
1595,µð³Äµð´¢³ó,2025-08-27,2,Àú³á
1595,goldship,2025-08-26,1,Àú³á
1595,jun****,2025-08-23,2,Àú³á
1595,¸¶¹øÆ÷,2025-08-20,1,Àú³á
1595,ottgirl,2025-08-20,1,Á¡½É
1595,shk031292,2025-08-07,29,¾ÆÄ§
1595,³×¿À»þÀÎ,2025-08-06,22,¾ÆÄ§
1595,Ä¡·Î¸Á°íÇÏ¿ì½º,2025-08-02,2,Á¡½É
1595,cartunist,2025-07-31,1,¾ÆÄ§
1595,¾ÆÀÌ¸°45,2025-07-30,2,Á¡½É
1595,³×¿À»þÀÎ,2025-07-24,21,¾ÆÄ§
1595,kwskingdom,2025-07-23,10,Á¡½É
1595,Ç® ¶â´Â ¼Ò¸®,2025-07-22,1,Á¡½É
1595,µð³Äµð´¢³ó,2025-07-21,1,Àú³á
1595,´ëºñ¸¶¸¶´Ù,2025-07-19,1,¾ÆÄ§
1595,´Ù½½¾Æ,2025-07-10,1,Á¡½É
1527,¹Ù´Ù6112,2026-02-10,1,Á¡½É
1527,ehehehrla,2026-01-29,2,Á¡½É
1527,kor****,2026-01-04,2,Á¡½É
1527,ytj****,2026-01-03,19,Á¡½É
1527,woojeasun73,2025-12-27,1,Á¡½É
1527,»Ç²Þ¹äÆÑÅä¸®,2025-12-23,1,Á¡½É
1527,ÄÚ¸µÄÚ¸°,2025-12-20,1,Á¡½É
1527,ytj****,2025-12-13,18,Á¡½É
1527,song7430,2025-11-25,1,Á¡½É
1527,jhorangekr,2025-11-24,5,Á¡½É
1527,ytj****,2025-11-22,17,Á¡½É
1527,¿¬»þ¹Ì,2025-11-18,30,Á¡½É
1527,¿¬»þ¹Ì,2025-11-17,29,Á¡½É
1527,¼Ò¼ÒÇÏ°Ô ±â»Û,2025-11-12,3,Á¡½É
