store_name,store_id,visitor_review_count,blog_review_count,coffee_tasty,service_kind,beverage_tatsy,dessert_tasty,store_clean,conv_good,seat_comfy,focus_good,interior_good,restroom_clean,special_menu,value_for_money,view_good,photo_good,store_spacious,parking_easy,vibe_calm,vibe_cozy,vibe_musical,food_tasty,ingred_fresh,kids_good,packaging_good,price_worth,rooms_good,good_for_stay,taste_healthy,menu_variety,custom_good,fast_service,good_for_groups,large_portions,menu_composition_good,tea_tasty,bread_tasty,solos_dining_good,pet_friendly,good_for_party,alcohol_variety,solos_alcohol_good,good_for_special,outdoor_space_good,books_variety,concept_unique,good_for_gifts,course_meal_good,free_snack_good
역삼아레나빌딩,1509,3163,91,1029,421,388,343,282,162,146,107,102,97,87,47,41,17,14,13,7,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
논현역사거리,1434,4870,198,1530,591,661,524,458,372,299,209,231,85,183,95,50,48,55,23,6,13,2,0,0,0,1,3,0,8,0,6,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
신사역성일빌딩,1595,4359,106,1236,661,534,404,460,331,255,230,169,145,138,91,50,36,54,20,3,9,2,2,1,0,2,1,0,4,0,3,2,11,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
국기원사거리,1527,4668,192,1459,658,633,486,440,300,198,255,152,99,166,87,58,45,23,22,4,10,2,1,0,0,1,5,0,6,1,3,2,1,1,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0
대치재경빌딩,1468,3604,154,1079,391,424,347,267,252,164,134,190,61,148,54,49,30,35,30,5,3,2,1,0,0,0,7,0,3,0,2,0,1,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
봉은사역,1640,2913,84,904,361,363,288,347,225,188,159,159,71,102,39,38,32,59,24,4,6,0,3,0,0,2,1,0,6,0,1,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
압구정윤성빌딩,1650,2997,125,957,485,396,279,342,224,146,172,128,146,78,66,55,27,48,97,2,8,1,1,0,17,0,3,0,9,1,2,0,4,7,0,2,0,1,6,25,9,3,3,1,0,0,0,0,0,0
코엑스별마당,1626,5736,261,2242,793,912,590,333,187,103,105,248,47,261,170,230,179,6,67,1,5,3,4,3,2,3,7,0,1,1,16,4,20,0,0,13,2,0,3,0,0,0,0,2,16,4,4,1,0,0
삼성역섬유센터R,1438,6712,282,1870,781,708,526,457,342,199,140,341,74,241,123,67,69,25,41,3,7,2,2,1,0,0,4,0,4,0,7,1,4,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
압구정R,1411,2889,131,807,371,367,250,271,188,145,117,153,68,121,54,31,16,15,47,5,3,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
수서역R,1389,5307,273,1695,871,723,537,560,343,233,150,413,91,332,105,59,56,42,113,0,6,3,2,0,1,1,8,0,4,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
